Districts,Forest Cover (Sq. Kms.),Percentage of Forest Cover,Site Registered,Plants Planted,Sites geo referenced,Plants Geo referenced,Small,Medium,Large,rain,temp_min,temp_max,humidity_min,humidity_max,wind_speed_max,wind_speed_min
ADILABAD,1706.89,41.1,11393,8482542,6712,8478817,44643,7611,535,8.30942,24.45112,31.84502,71.71425,95.93466,5.021768,0.162378
BHADRADRI,4286.98,57.29,9773,8431407,5621,8425907,32202,4750,573,14.85104,25.60821,33.45448,76.3295,99.00603,7.24176,0.051984
HYDERABAD,1.43,0.66,927,1388317,532,1323126,0,0,0,7.052038,24.04925,30.85627,66.81779,91.26463,9.010122,0.425136
JAGTIAL,554.91,22.94,15335,14715535,9779,14494744,33610,4141,305,8.601812,24.79223,32.43263,74.75911,98.3263,6.828165,0.1702
JANGAON,30.75,1.41,15873,7854454,7568,6865167,35348,5459,406,10.5163,24.45572,32.47911,73.3453,97.8428,6.605974,0.111765
JAYASHANKAR,4505.05,72.96,8225,7980705,3434,7976705,38719,3353,330,13.72174,25.45287,32.82864,73.94728,96.84977,11.02907,0.177744
JOGULAMBA,6.79,0.23,8805,2005325,2464,1855191,39038,6026,620,8.164312,23.90772,31.04146,70.54007,94.1102,8.095372,0.248367
KAMAREDDY,868.99,23.79,26920,12878405,17024,12490985,55496,3432,230,9.769516,23.55197,31.23442,75.0189,97.3087,8.155671,0.395542
KARIMNAGAR,3.47,0.16,9928,3954566,4850,3928997,34191,3045,219,11.39062,24.77827,32.30476,75.65875,97.25176,10.38091,0.267867
KHAMMAM,621.89,14.26,12753,19237968,7479,19004007,58241,8381,527,9.802795,25.81905,33.67964,74.60806,98.04504,7.458234,0.092935
KOMARAM BHEEM,2420.17,49.61,13542,5416389,8893,5342221,28260,6819,589,9.577246,24.84937,32.04159,72.27967,94.73155,8.210587,0.345395
MAHABUBABAD,1490.7,51.81,18752,9101662,10317,9012822,31077,4937,860,12.08336,25.1173,32.8055,74.4766,98.45414,5.706868,0.039423
MAHABUBNAGAR,370.84,7.02,29010,7392275,11941,7325232,77611,11618,1263,9.354565,23.33481,30.62734,73.45455,95.72931,10.19898,0.461818
MANCHERIAL,1761.17,43.85,13127,7136973,7753,6452081,30723,4654,581,9.631643,25.29625,32.70211,74.46656,98.02132,7.988889,0.131159
MEDAK,563.41,20.22,16161,10458229,9267,9706222,39441,2151,232,9.426848,23.27783,30.89981,78.69435,98.70191,10.13647,0.327554
MEDCHAL,89.19,8.23,7399,8087006,6346,7924770,5239,980,123,7.360217,23.47898,30.68752,69.31214,93.5734,7.829058,0.434275
NAGARKURNOOL,2498.49,36.08,19387,10360053,9623,10212935,67658,8563,841,7.938913,23.63596,30.77223,75.44397,96.95357,12.11344,1.147724
NALGONDA,644.85,9.05,16250,12581296,5788,11060686,96135,14159,1185,5.756907,25.23505,33.01928,70.24161,95.51813,11.32953,0.656389
NIRMAL,1213.08,31.55,16830,7784052,10832,7566962,40308,4905,425,7.407609,24.29838,32.05427,71.02807,95.20701,9.757151,0.235469
NIZAMABAD,853.21,19.9,16371,17669740,11482,17521060,56510,2857,204,8.115292,24.02712,31.70511,74.16695,95.91914,6.917523,0.302514
PEDDAPALLI,304.91,13.64,8389,13038956,4151,12975416,27047,2063,144,10.12446,25.35989,32.94824,75.41189,98.19369,7.876531,0.082104
RAJANNA,379.14,18.78,10341,6554994,6271,6256289,24497,2117,211,10.63462,24.10061,32.13907,73.29702,95.95884,9.995896,0.358459
RANGAREDDY,292.73,5.82,11818,8924562,8124,8232039,57317,9788,1123,7.512399,23.37334,30.64368,72.34622,95.7137,11.54596,0.928195
SANGAREDDY,203.68,4.63,14112,14003433,6364,13562146,66954,9524,1176,7.741346,22.95904,30.38051,72.33608,96.05454,8.817074,0.62083
SIDDIPET,252.18,6.94,14028,13379766,6322,13219836,60486,5871,562,11.1009,23.88472,31.39448,76.26572,97.96357,7.970014,0.472809
SURYAPET,117.78,3.27,9796,7402991,3793,7305645,50579,6577,487,7.367486,25.33063,32.88319,71.88597,95.87576,7.115789,0.177324
VIKARABAD,432.97,12.79,18345,4306965,10202,4060382,59028,6869,675,8.461171,22.88598,30.40286,76.83183,98.02988,6.581733,0.243989
WANAPARTHY,118.74,5.52,9777,2602360,4423,2521890,31474,4002,350,10.10287,23.96733,31.04885,76.89961,98.04793,7.885992,0.223346
WARANGAL (R),163.59,7.52,15267,7882864,10987,7484613,35510,3027,210,14.74959,25.00309,32.47748,74.59304,97.4465,7.74372,0.094647
WARANGAL (U),28.76,2.2,5077,5984625,4214,5947284,18758,1731,164,13.91601,25.03953,32.8504,75.23063,97.59936,9.159684,0.066304
YADADRI,116.97,3.78,11314,8214829,5149,8107214,42290,5717,497,6.63798,24.33625,32.21389,70.50104,95.7448,9.106456,0.263008
